ID,Category,EmotionType,RunID,ConList,ConID,ConLabel,BlockRep,TrialType,CB,ImageFile,FixISI
Faces_148_h,Faces,Negative,6,3,emo1,within SF?,2,Old,A,Stimuli/Faces_148_h.jpg,3.745
Objects_082_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_082_h.jpg,0.5
Faces_291_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_291_h.jpg,0.5
Objects_241_h,Objects,Neutral,6,1,neu1,within SF?,1,Old,A,Stimuli/Objects_241_h.jpg,1.755
Objects_206_h,Objects,Negative,3,4,emo2,professional photo?,1,Old,A,Stimuli/Objects_206_h.jpg,0.824
Objects_221_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_221_h.jpg,0.5
Animals_039_h,Animals,Negative,4,3,emo1,within SF?,1,Old,A,Stimuli/Animals_039_h.jpg,5.478
Faces_274_h,Faces,Negative,4,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_274_h.jpg,1.234
Faces_218_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_218_h.jpg,0.5
Objects_054_h,Objects,Neutral,1,2,neu2,professional photo?,1,Old,A,Stimuli/Objects_054_h.jpg,2.814
Animals_217_h,Animals,Neutral,1,1,neu1,within SF?,2,Old,A,Stimuli/Animals_217_h.jpg,0.559
Objects_210_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_210_h.jpg,0.5
Objects_207_h,Objects,Negative,6,3,emo1,within SF?,2,Old,A,Stimuli/Objects_207_h.jpg,1.234
Objects_246_h,Objects,Neutral,5,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_246_h.jpg,0.798
Faces_368_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_368_h.jpg,0.5
Objects_237_h,Objects,Neutral,3,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_237_h.jpg,0.864
Objects_121_v,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_121_v.jpg,0.5
Faces_182_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_182_h.jpg,0.5
Animals_107_h,Animals,Neutral,5,1,neu1,within SF?,2,Old,A,Stimuli/Animals_107_h.jpg,5.258
Faces_009_h,Faces,Negative,3,3,emo1,within SF?,1,Old,A,Stimuli/Faces_009_h.jpg,1.922
Faces_214_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_214_h.jpg,0.5
Objects_306_h,Objects,Neutral,4,1,neu1,within SF?,2,Old,A,Stimuli/Objects_306_h.jpg,0.977
Animals_082_h,Animals,Neutral,3,1,neu1,within SF?,2,Old,A,Stimuli/Animals_082_h.jpg,1.997
Animals_048_h,Animals,Negative,1,3,emo1,within SF?,2,Old,A,Stimuli/Animals_048_h.jpg,2.679
